Flow,Trigger,Emails sent,Emails delivered,Delivery rate,Emails opened,Open rate,Emails clicked,Click rate,Bounced emails,Bounce rate,Unsubscribed,Unsubscribe rate,Spam reports,Spam complaint rate,Email attributed orders,Email attributed revenue
Summary,-,"12,417","12,396",99.83%,"5,577",44.99%,"1,640",13.23%,22,0.18%,7,0.20%,0,0.00%,20,"$1,112.64 "
When shipment updates to in transit,In transit,"6,746","6,744",99.97%,"3,099",45.95%,987,14.64%,2,0.03%,4,0.16%,0,0.00%,,
Order placed,Order placed,"1,645","1,626",98.84%,750,46.13%,143,8.79%,20,1.22%,0,0.00%,0,0.00%,,
Delivery arriving soon,Delivery arriving soon,"1,484","1,484",100.00%,668,45.01%,289,19.47%,0,0.00%,1,0.07%,0,0.00%,,
Delivered - TEST,Delivered,"1,395","1,395",100.00%,592,42.44%,173,12.40%,0,0.00%,0,0.00%,0,0.00%,,
comment & nps,Delivered,681,681,100.00%,289,42.44%,4,0.59%,0,0.00%,2,0.30%,0,0.00%,,
comment & nps - TEST,Delivered,262,262,100.00%,88,33.59%,3,1.15%,0,0.00%,0,0.00%,0,0.00%,,
Split order shipments updated (digest),Split order shipments updated (digest),116,116,100.00%,48,41.38%,16,13.79%,0,0.00%,0,0.00%,0,0.00%,,
Order canceled,Order canceled,41,41,100.00%,20,48.78%,5,12.20%,0,0.00%,0,0.00%,0,0.00%,,
Exception,Exception,33,33,100.00%,18,54.55%,11,33.33%,0,0.00%,0,0.00%,0,0.00%,,
Failed attempt,Failed attempt,14,14,100.00%,5,35.71%,9,64.29%,0,0.00%,0,0.00%,0,0.00%,,
